,X,Y,Z
2342,5545189.27,7421950.949,170.97478182880002
2343,5545189.459,7421950.674,170.6863741336
2344,5545189.615,7421950.596,170.5163332192
2345,5545189.767000001,7421950.738,170.4972923048
2346,5545189.981000001,7421950.94,170.49009999999998
2347,5545190.222999999,7421951.302,170.56799999999998
2348,5545190.651000001,7421951.606000001,170.8195769144
2349,5545191.109,7421951.991,170.9629458288
2350,5545191.722999999,7421952.279,171.2391049144
2351,5545192.399,7421952.507999999,171.2814769144
2352,5545193.23,7421952.739,171.5261178288
2353,5545194.062999999,7421952.83,171.5720846096
2354,5545195.02,7421952.884,171.7262769144
2355,5545195.977999999,7421952.857999999,171.7495178288
2356,5545196.999,7421952.813999999,171.94765950480001
2357,5545198.052,7421952.61,172.0358441144
2358,5545199.135,7421952.506,172.11705180959999
2359,5545200.25,7421952.363,172.13503120000001
2360,5545201.364,7421952.24,172.18465672399998
2361,5545202.54,7421952.137999999,172.2150850288
2362,5545203.683999999,7421952.055,172.30967211440003
2363,5545204.86,7421951.953,172.4987004192
2364,5545206.036,7421951.831,172.8177875048
2365,5545207.181,7421951.708,173.0259518096
2366,5545208.357999999,7421951.526000001,173.1876388952
2367,5545209.503,7421951.384,173.2563518096
2368,5545210.681,7421951.182,173.3408388952
2369,5545211.795,7421951.018999999,173.5498644192
2370,5545212.911,7421950.816000001,173.7658644192
2371,5545213.995,7421950.613,173.8740518096
2372,5545215.051,7421950.231000001,173.9355032
2373,5545216.107000001,7421949.887999999,174.0314388952
2374,5545217.163,7421949.545,174.0687721144
2375,5545218.217999999,7421949.2020000005,174.07910811440001
2376,5545219.304,7421948.88,174.2527518096
2377,5545220.3889999995,7421948.637,174.3695721144
2378,5545221.443,7421948.453,174.5054364192
2379,5545222.495,7421948.329,174.46485950480002
2380,5545223.547,7421948.265,174.52217489519998
2381,5545224.597999999,7421948.24,174.6820672
2382,5545225.616,7421948.355,174.9745748952
2383,5545226.602999999,7421948.469,175.0948307808
2384,5545227.557999999,7421948.682,175.2764126096
2385,5545228.545,7421948.815,175.54713078080002
2386,5545229.499,7421949.028,176.1948590856
2387,5545230.517000001,7421949.2020000005,176.55322830480003
2388,5545231.471,7421949.415,177.1029126096
2389,5545232.52,7421949.57,177.552964
2390,5545233.506,7421949.723999999,178.16167169520003
2391,5545234.554,7421949.897999999,178.2657513904
2392,5545235.602000001,7421950.073,178.20328460960002
2393,5545236.65,7421950.267000001,184.84228830480004
2394,5545237.728999999,7421950.462,184.9548563048
2395,5545238.776000001,7421950.696,185.041664
2396,5545239.822000001,7421950.99,185.10746030480001
2397,5545240.8379999995,7421951.283,185.17261660960003
2398,5545241.884,7421951.5770000005,185.2864436952
2399,5545242.868,7421951.93,185.3645883048
2400,5545243.882999999,7421952.262999999,185.51
2401,5545244.896000001,7421952.676,185.60083600000002
2402,5545245.848999999,7421953.0479999995,185.7152126096
2403,5545246.831,7421953.5,185.75348460959998
2404,5545247.783,7421953.892000001,185.78366400000002
2405,5545248.7979999995,7421954.245,185.80205630479998
2406,5545249.813999999,7421954.478999999,185.8054
2407,5545250.863,7421954.594,185.803196
2408,5545251.882,7421954.629,185.8684603048
2409,5545252.782000001,7421954.403,185.8926923048
2410,5545253.682,7421954.117000001,185.8985883048
2411,5545254.491,7421953.711,185.8564603048
2412,5545255.179,7421953.164,185.77381660960003
2413,5545255.837,7421952.5770000005,185.73545630479998
2414,5545256.249,7421951.846,185.58019230480002
2415,5545256.661,7421951.136,185.505996
2416,5545256.857999999,7421950.323,185.38966800000003
2417,5545256.994,7421949.509,185.3388
2418,5545257.069,7421948.614,185.2973806096
2419,5545257.081,7421947.759,185.270496
2420,5545257.063999999,7421946.802999999,185.26810400000002
2421,5545256.954,7421945.886,185.2256243048
2422,5545256.812999999,7421944.929,185.1789076952
2423,5545256.6110000005,7421943.99,185.1491283048
2424,5545256.409,7421942.992000001,185.1351883048
2425,5545256.176,7421942.034,185.1608716952
2426,5545255.693,7421941.25,185.18310400000001
2427,5545255.24,7421940.527000001,185.19405260960002
2428,5545254.6,7421939.921,185.1201486096
2429,5545253.991,7421939.315,185.0595846096
2430,5545253.289,7421938.687999999,184.9996806096
2431,5545252.556,7421938.08,184.956896
2432,5545251.824,7421937.453,184.92967569520002
2433,5545251.03,7421936.804,184.84706400000002
2434,5545250.267000001,7421936.156,184.7742806096
2435,5545249.442000001,7421935.467,184.68227569520002
2436,5545248.679,7421934.819,184.58085260960002
2437,5545247.824,7421934.17,184.47931260960002
2438,5545247.029,7421933.542,184.3161283048
2439,5545246.142999999,7421932.892000001,184.19270400000002
2440,5545245.348999999,7421932.262999999,184.0518486096
2441,5545244.431,7421931.632999999,183.9363166096
2442,5545243.543,7421931.043,183.8251526096
2443,5545242.594,7421930.4520000005,183.72716400000002
2444,5545241.642999999,7421929.94,183.638368
2445,5545240.6620000005,7421929.448,183.5732603048
2446,5545239.711,7421928.957,183.4774283048
2447,5545238.728999999,7421928.525,183.3675526096
2448,5545237.744,7421928.252,183.1575806096
2449,5545236.727999999,7421927.958,183.0106806096
2450,5545235.742000001,7421927.785,182.42650769519997
2451,5545234.725,7421927.591,181.85853969520002
2452,5545233.676,7421927.456,180.463996
2453,5545232.659,7421927.302,179.11908830480002
2454,5545231.5479999995,7421927.206,177.2214206096
2455,5545230.5,7421927.031,176.252164
2456,5545229.422,7421926.817000001,175.4529923048
2457,5545228.437999999,7421926.484,175.1760716952
2458,5545227.455,7421926.052,174.87387169520002
2459,5545226.597,7421925.562000001,174.8920563048
2460,5545225.771000001,7421924.972,174.9667076952
2461,5545224.976,7421924.404,175.00603078080002
2462,5545224.275,7421923.717,174.9629206096
2463,5545223.543,7421923.069,174.9254846096
2464,5545222.936000001,7421922.344,174.962464
2465,5545222.328,7421921.637999999,175.0319206096
2466,5545221.815,7421920.835,175.1114667808
2467,5545221.332,7421920.052,175.16497939040002
2468,5545220.881,7421919.188999999,175.1923667808
2469,5545220.461,7421918.3270000005,175.1641846096
2470,5545220.041,7421917.406,175.1099153904
2471,5545219.529,7421916.503,175.109464
2472,5545219.017000001,7421915.6389999995,175.1434486096
2473,5545218.2870000005,7421914.833,175.259064
2474,5545217.5879999995,7421914.046,175.3046923048
2475,5545216.765,7421913.257999999,175.3622486096
2476,5545215.941000001,7421912.53,175.38003600000002
2477,5545215.024,7421911.86,175.4209126096
2478,5545214.076,7421911.188999999,175.46083078080002
2479,5545213.127,7421910.557999999,175.4271590856
