X	Y	Z
5545190.188999999	7421959.959	172.6256235048
5545189.374	7421960.802	172.7448518096
5545188.495	7421961.705	172.7409955048
5545187.679	7421962.609	172.8753672
5545186.984	7421963.634	172.9327158096
5545186.29	7421964.579	173.117556724
5545185.811000001	7421965.666	173.14078750480002
5545185.24	7421966.693	173.006020724
5545184.761	7421967.761	173.0212235048
5545184.159	7421968.7870000005	172.979292724
5545183.557	7421969.793	173.22418502879998
5545182.955	7421970.799	173.4454875048
5545182.261	7421971.7639999995	173.710820724
5545181.629	7421972.75	174.1150441144
5545180.782000001	7421973.594	174.416256724
5545180.057999999	7421974.499	174.9815312
5545179.089	7421975.261	175.2722230856
5545178.304	7421976.125	175.8390486096
5545177.335	7421976.927	176.1990153904
5545176.488	7421977.77	176.91434091440001
5545175.579	7421978.632999999	177.2058049144
5545174.701	7421979.515	177.2478955048
5545173.884	7421980.438999999	177.2188486096
5545172.975	7421981.341	186.967396
5545172.22	7421982.246	186.9633603048
5545171.341	7421983.187999999	186.556568
5545170.525	7421984.052	186.2190436952
5545169.739	7421985.036	185.85037169519998
5545168.922	7421985.938999999	185.81520400000002
5545168.257999999	7421986.964	186.13453969520003
5545167.534	7421987.909	186.3773806096
5545166.871	7421988.835	186.57710400000002
5545166.363	7421989.783	186.6599
5545166.01	7421990.7129999995	187.00376799999998
5545165.811000001	7421991.646000001	187.3518396952
5545165.549	7421992.617000001	188.055532
5545165.288	7421993.568	188.5065443048
5545164.904	7421994.498	189.3893123048
5545164.488	7421995.467	190.04427230480002
5545163.981000001	7421996.356000001	190.91855569519998
5545163.321	7421997.122	191.386352
5545162.632	7421997.728999999	191.991052
5545161.884	7421998.176	192.3723
5545161.107999999	7421998.4229999995	192.6956396952
5545160.365	7421998.492000001	192.7370603048
5545159.749	7421998.344	192.631532
5545159.105	7421998.056	192.5509763048
5545158.492000001	7421997.688999999	192.618496
5545157.881	7421997.222	192.71268
5545157.27	7421996.696	192.95806400000004
5545156.6	7421996.069	193.1230123048
5545155.961	7421995.382999999	193.093676
5545155.478999999	7421994.54	192.997836
5545155.12	7421993.699	192.955616
5545154.978999999	7421992.801	193.15728800000002
5545154.899	7421991.885	193.439096
5545155.005	7421990.971	193.540984
5545155.295	7421990.179	193.5157
5545155.677	7421989.387999999	193.348352
5545156.244	7421988.7	193.1506876952
5545156.811000001	7421987.9120000005	192.7507443048
5545157.533	7421987.166	192.7716443048
5545158.132999999	7421986.28	192.7597443048
5545158.826	7421985.374	187.94115630480002
5545159.365	7421984.427	187.75208060960003
5545160.029	7421983.421	187.121196
5545160.507	7421982.413	186.7645806096
5545160.9860000005	7421981.346	186.244964
5545161.402000001	7421980.357000001	185.73146400000002
5545161.85	7421979.288	184.9015
5545162.206	7421978.219	184.2103526096
5545162.592	7421977.15	183.38585260960002
5545162.948	7421976.06	182.82121660960001
5545163.272999999	7421974.97	182.33228460959998
5545163.782000001	7421973.943	182.07809600000002
5545164.2	7421972.853999999	181.7295806096
5545164.74	7421971.847	181.592668
5545165.279	7421970.86	181.422532
5545165.911	7421969.933999999	181.31440000000003
5545166.603999999	7421969.028	181.2385563048
5545167.265	7421968.182	181.2542436952
5545168.018999999	7421967.318	181.4004
5545168.711	7421966.512	181.57418460960002
5545169.618	7421965.728999999	181.87053600000002
5545170.372	7421964.924	182.1166806096
5545171.28	7421964.081	182.40618830480003
5545172.003	7421963.2360000005	182.60815630480002
5545172.85	7421962.352999999	182.7301243048
5545173.543	7421961.427999999	182.6925
5545174.299	7421960.482999999	182.1866883048
5545174.992000001	7421959.557999999	181.76501660960002
5545175.687000001	7421958.552999999	180.72978830480002
5545176.319	7421957.567000001	179.199896
5545176.982999999	7421956.562000001	177.0123793904
5545177.584	7421955.556	175.65256678080002
5545178.217	7421954.53	174.72505180960002
5545178.789	7421953.464	174.50654411440001
5545179.329	7421952.437000001	174.2304850288
5545179.871	7421951.29	173.91552872399998
5545180.32	7421950.2020000005	173.27860811440001
5545180.9229999995	7421949.096	172.8201032
5545181.403	7421947.989	172.01428502880003
5545181.975	7421946.882999999	171.4287923048
5545182.485	7421945.795	170.7706818288
5545183.057999999	7421944.669	170.45373321920002
5545183.568	7421943.582	170.017125524
5545184.08	7421942.415	169.6097846096
5545184.651000001	7421941.348999999	169.0914846096
5545185.193	7421940.203	168.7684818288
5545185.765	7421939.116	168.2999972192
5545186.3379999995	7421937.99	168.11956400000003
5545186.971	7421936.965	167.89021260959998
5545187.543	7421935.897999999	167.7717409144
5545188.267000001	7421934.972999999	167.7303206096
5545188.899	7421933.988	167.7691458288
5545189.745	7421933.183999999	167.8319923048
5545190.469	7421932.319	167.89711260960001
5545191.407000001	7421931.556	168.2458846096
5545192.16	7421930.731000001	168.49182830479998
5545193.098999999	7421929.949	168.8491846096
5545193.882999999	7421929.145	168.9579178288
5545194.822000001	7421928.302	169.1217486096
5545195.637	7421927.498	169.2634692192
5545196.485	7421926.595	169.46698182880002
5545197.27	7421925.711	169.7307049144
5545197.964	7421924.746	170.0948692192
5545198.688999999	7421923.781	170.289389524
5545199.26	7421922.775	170.5799
5545199.954	7421921.77	170.58964582879997
5545200.371	7421920.721	170.8516692192
5545200.9120000005	7421919.654	171.025353524
5545201.207	7421918.544	171.50674091439998
5545201.501	7421917.414	171.7398332192
5545201.795	7421916.324	171.986692724
5545202.057999999	7421915.232999999	171.85132872399998
5545202.415	7421914.084	171.8135032
5545202.77	7421913.0139999995	171.8159458288
5545203.22	7421911.8270000005	171.9767955048
5545203.607000001	7421910.717999999	172.13720041919998
5545204.149	7421909.591	172.5042518096
5545204.659	7421908.524	172.85762350480002
5545205.1389999995	7421907.377	173.48241089520002
5545205.65	7421906.29	173.8633672
5545206.161	7421905.142999999	174.417492724
5545206.671	7421904.075	174.77671089519998
5545207.181	7421902.949	175.25907169520002
5545207.813999999	7421901.943	175.48547169519998
5545208.356000001	7421900.836	175.7264126096
5545209.05	7421899.851	175.95701260959999
5545209.652000001	7421898.785	176.4337513904
5545210.409	7421897.781	176.8050049144
5545211.042	7421896.7360000005	177.4184049144
5545211.767999999	7421895.711	177.8819513904
5545212.37	7421894.646000001	178.69122430480002
5545213.126	7421893.642000001	179.206636
5545213.791	7421892.596	179.6291076952
5545214.607999999	7421891.653	179.7910513904
5545215.302999999	7421890.628	179.9548436952
5545216.181	7421889.706	180.05002830479998
5545216.876	7421888.681	180.197832
5545217.785	7421887.799	180.28122830479998
5545218.478999999	7421886.794	180.37991539040001
5545219.419	7421885.932	180.4095396952
5545220.205	7421885.007999999	180.4805473904
5545221.115	7421884.066000001	180.48822830480003
5545221.931	7421883.1620000005	180.5478473904
5545222.811000001	7421882.2	180.5741283048
5545223.566000001	7421881.276000001	180.6233473904
5545224.445	7421880.312999999	180.6632243048
5545225.17	7421879.329	180.6864603048
5545225.896000001	7421878.324	180.69370769519998
5545226.652000001	7421877.32	180.6917603048
5545227.285	7421876.255	180.7380793904
5545227.919	7421875.209	180.74862830479998
5545228.491	7421874.102999999	180.718096
5545229.001	7421873.016	180.6002283048
5545229.573	7421871.93	180.5020436952
5545230.022000001	7421870.822000001	180.19889600000002
5545230.595	7421869.696	179.7638833904
5545231.012999999	7421868.567000001	179.5430436952
