	X	Y	H
2015_1359	5544955.8058	7421906.7497	169.2726563048
2015_1360	5544954.6681	7421907.3024	169.295989524
2015_1361	5544953.5276	7421907.7311	169.2765923048
2015_1362	5544952.3451	7421908.2461	169.2774409144
2015_1363	5544951.2121	7421908.6809	169.2498458288
2015_1364	5544950.0693	7421909.158	169.20981260960002
2015_1365	5544948.947	7421909.4005	169.1637769144
2015_1366	5544947.8406	7421909.6526	169.22449230479998
2015_1367	5544946.8045	7421909.6642	169.26049230479998
2015_1368	5544945.8003	7421909.6676	169.29682552399998
2015_1369	5544944.866	7421909.4856	169.335361524
2015_1370	5544943.8974	7421909.393	169.3365409144
2015_1371	5544942.9288	7421909.1951	169.3518846096
2015_1372	5544941.9198	7421909.0973	169.4133
2015_1373	5544940.933	7421908.9738	169.391561524
2015_1374	5544939.8883	7421908.9131	169.3418458288
2015_1375	5544938.9012	7421908.8075	169.4898846096
2015_1376	5544937.8551	7421908.6806	169.5973563048
2015_1377	5544936.8715	7421908.6259	169.74327691439998
2015_1378	5544935.8487	7421908.6551	169.723853524
2015_1379	5544934.9059	7421908.6955	169.9671846096
2015_1380	5544933.9586	7421908.9188	170.47934860959998
2015_1381	5544932.889	7421908.7321	170.6826692192
2015_1382	5544931.9125	7421908.9364	170.4517381336
2015_1383	5544930.9489	7421909.1198	170.9539486096
2015_1384	5544929.9251	7421909.2526	171.7397101336
2015_1385	5544928.9124	7421909.4512	171.84622552399998
2015_1386	5544917.3942	7421911.4545	171.8841
2015_1387	5544916.4668	7421911.7534	172.0476381336
2015_1388	5544915.4607	7421911.976	172.0350972192
2015_1389	5544914.5028	7421912.0963	172.4170381336
2015_1390	5544950.2935	7421888.4368	172.59233321920001
2015_1391	5544951.3519	7421888.7181	172.7630486096
2015_1392	5544952.4433	7421888.9074	172.9620458288
2015_1393	5544953.4657	7421889.1946	172.9740846096
2015_1394	5544954.5725	7421889.3996	173.236864
2015_1395	5544955.6203	7421889.6389	173.3406381336
2015_1396	5544956.7676	7421889.8809	173.48450000000003
2015_1397	5544957.8886	7421890.1811	173.761920724
2015_1398	5544959.0439	7421890.4419	174.2450158096
2015_1399	5544960.1112	7421890.5878	174.5605158096
2015_1400	5544960.736	7421891.1057	174.7691518096
2015_1401	5544961.8861	7421891.2716	174.70132830480003
2015_1402	5544962.9864	7421891.3814	174.68592830480003
2015_1403	5544964.1804	7421891.5388	174.6771
2015_1404	5544965.3192	7421891.6131	188.4809923048
2015_1405	5544966.5125	7421891.7845	178.8271818288
2015_1406	5544967.6986	7421891.8131	179.5905206096
2015_1407	5544968.8794	7421891.9476	179.2036846096
2015_1408	5544970.116	7421892.0134	178.99587169519998
2015_1409	5544971.2695	7421892.0466	178.785764
2015_1410	5544972.4906	7421892.1596	178.5358230856
2015_1411	5544973.67	7421892.1183	178.3813873904
2015_1412	5544974.8452	7421892.1438	178.33370769520002
2015_1413	5544975.9964	7421891.9383	178.042964
2015_1414	5544977.151	7421891.8094	177.3209846096
2015_1415	5544978.3105	7421891.5401	176.18760319999998
2015_1416	5544979.4527	7421891.3265	174.7439004192
2015_1417	5544980.6071	7421891.0864	173.66131089520002
2015_1418	5544981.7261	7421890.9005	173.362053524
2015_1419	5544982.827	7421890.7483	173.2299923048
2015_1420	5544983.9264	7421890.7532	172.95318460960002
2015_1421	5544984.9901	7421890.6928	172.4026049144
2015_1422	5544986.0481	7421890.8458	172.030553524
2015_1423	5544987.1084	7421890.9074	171.666
2015_1424	5544988.1286	7421891.1633	171.4570458288
2015_1425	5544989.2168	7421891.271	171.75195630480002
2015_1426	5544990.2565	7421891.5379	171.84551782879998
2015_1427	5544991.3576	7421891.6748	171.8976846096
2015_1428	5544992.4136	7421891.8633	171.62118182880002
2015_1429	5544993.5335	7421892.0007	172.0973769144
2015_1430	5544994.5912	7421892.128	172.6576178288
2015_1431	5544995.7283	7421892.2557	173.06472552399998
2015_1432	5544996.8365	7421892.3511	172.84607413359998
2015_1433	5544997.979	7421892.4423	172.521161524
2015_1434	5544999.1506	7421892.4984	172.2618458288
2015_1435	5545000.2657	7421892.5263	172.2675178288
2015_1436	5545001.4693	7421892.4008	182.25023199999998
2015_1437	5545002.6252	7421892.2589	181.8296396952
2015_1438	5545003.8609	7421892.1359	181.13167569520002
2015_1439	5545005.091	7421891.9635	180.96425139040002
2015_1440	5545006.2883	7421891.8434	179.9793283048
2015_1441	5545007.605	7421891.7363	179.2747153904
2015_1442	5545008.8635	7421891.5332	178.6667409144
2015_1443	5545010.2046	7421891.5633	177.56830000000002
2015_1444	5545011.5314	7421891.4362	175.92673641919998
2015_1445	5545012.7774	7421891.4424	175.6892108952
2015_1446	5545014.0918	7421891.4473	175.2476850288
2015_1447	5545015.3591	7421891.5137	174.85347489519998
2015_1448	5545016.6047	7421891.5904	174.80908502879998
2015_1449	5545017.837	7421891.7689	174.65060320000003
2015_1450	5545019.0181	7421891.9134	174.7146409144
2015_1451	5545020.2181	7421892.1412	174.92855180959998
2015_1452	5545021.358	7421892.368	174.8627032
2015_1453	5545022.5317	7421892.6199	175.37182072400003
2015_1454	5545023.6478	7421892.9055	175.4314
2015_1455	5545024.8092	7421893.1919	175.3504409144
2015_1456	5545025.8923	7421893.5985	175.472753524
2015_1457	5545026.9217	7421893.9887	175.79354091439998
2015_1458	5545027.9313	7421894.4603	172.0238409144
2015_1459	5545029.0096	7421894.9023	172.0154409144
2015_1460	5545030.0034	7421895.4011	172.0062409144
2015_1461	5545030.9697	7421895.9345	172.0068409144
2015_1462	5545031.9193	7421896.4771	171.9987409144
2015_1463	5545032.8221	7421897.1061	172.0107409144
2015_1464	5545033.7747	7421897.6789	171.9740409144
2015_1465	5545034.5852	7421898.3964	171.9901409144
2015_1466	5545035.4406	7421899.0439	190.5089068952
2015_1467	5545036.2115	7421899.8118	189.9027603048
2015_1468	5545037.0307	7421900.4719	189.158064
2015_1469	5545037.7554	7421901.302	189.052164
2015_1470	5545038.5825	7421901.9853	181.8140846096
2015_1471	5545039.3525	7421902.7903	181.78295630480002
2015_1472	5545040.2296	7421903.4511	181.34070000000003
2015_1473	5545041.0474	7421904.1945	180.9678806096
2015_1474	5545041.9633	7421904.8775	180.87234369520002
2015_1475	5545042.8454	7421905.5417	180.765864
2015_1476	5545043.7473	7421906.2048	180.4223923048
2015_1477	5545044.717	7421906.7504	179.942404
2015_1478	5545045.7162	7421907.331	177.3246206096
2015_1479	5545046.7922	7421907.6986	174.8455409144
2015_1480	5545047.9285	7421908.0941	174.2743875048
2015_1481	5545049.0393	7421908.345	174.47925950479998
2015_1482	5545050.2914	7421908.518	173.847628724
2015_1483	5545051.4999	7421908.6117	173.38112350480003
2015_1484	5545052.7644	7421908.7813	173.24920319999998
2015_1485	5545054.0193	7421908.7884	172.7896518096
2015_1486	5545055.2972	7421908.8489	172.216292724
2015_1487	5545056.5713	7421908.8199	172.3037850288
2015_1488	5545057.8729	7421908.7464	172.1366235048
2015_1489	5545059.1264	7421908.7086	172.134828724
2015_1490	5545060.4159	7421908.6478	172.4589235048
2015_1491	5545061.7033	7421908.5814	173.09940319999998
